X,Y,Name,Long_name,lon,lat
2589116.21093916,1220851.17015334,206,rural reference,7.295157258049944,47.13854844317897
2587318.10545237,1221262.51008333,228,Südstrasse,7.271442786808509,47.14221612603856
2588246.30546011,1221489.56008199,217,Geyisreid,7.283673321069929,47.14427564935802
2586841.31089471,1221544.27017185,205,Ile de la Suze,7.265148929721899,47.14474113093907
2586725.30544576,1221757.26008724,221,Champagne-Piano,7.263613252816366,47.14665459886711
2586523.80544287,1222173.31008976,227,Altersheim-redenweg,7.260944155574042,47.15039277997535
2584839.50652196,1219376.51209687,216,Nidau-mittestrasse,7.238831053622557,47.125199475937286
2585629.30380887,1219701.80705616,211,Mühlefeld,7.249229243522805,47.12814316650811
2585758.30489964,1219066.65906917,226,Port Thielle,7.25094956021827,47.12243292332993
2585986.20708087,1218786.66309739,213,Port NBK,7.253961623819155,47.11991929762015
2586192.80543981,1222205.11009077,235,Altersheim-Reid,7.256578930803547,47.15067194726373
2587851.8054523,1223128.01009083,225,Swisstennis,7.2784280163168065,47.159005975110944
2588914.00491459,1223573.88408117,237,Rolex,7.292424384479668,47.16303529232208
2587030.50544646,1222540.76009019,236,Taubenloch,7.267614387206042,47.15370810175957
2587298.75490466,1222251.3840793,224,Bözingen,7.271159682945557,47.15111046676412
2588901.70491557,1223116.25907924,234,Bözingenfeld,7.292273509911332,47.15891885527405
2586244.5087159,1219444.71612385,223,Altersheim-erlacher,7.2573452439864825,47.1258438271483
2586918.50109055,1219738.00201541,214,Längholz,7.266219234607871,47.12849563209389
2586623.50163489,1219907.00302359,208,Möösli,7.262326212167894,47.13000983323275
2585787.80489602,1220719.45907625,220,Altersheim-Neumarkt,7.2512860040606695,47.13730019991995
2585424.00489271,1220879.50907778,219,New City,7.246485268059931,47.13873185875089
2585060.75434641,1220902.38306997,238,Museum,7.241696082617558,47.13892945858104
2586114.41959549,1221490.07372696,232,Champagne-Blumen,7.255567533607622,47.14423869874925
2585360.40543482,1221244.56008834,215,Old City,7.245634985865393,47.14201400637538
2585256.50543244,1221802.96009127,222,Spital,7.244246935126219,47.147034375760036
2585946.81088076,1221134.77017259,204,Stadtpark,7.253368987131442,47.14103925664875
2583485.01084233,1219996.27017444,230,Vingelz,7.220957635875876,47.13074150165554
2585014.11086987,1219998.17016653,201,Robert-Walser-Platz,7.241111393028388,47.13079517749481
2585629.80489579,1220272.85907468,233,Madretsch-Zukunft,7.249217573272106,47.13327968634356
2585169.01087119,1220281.52016844,218,Bahnhof,7.243143648481159,47.13334736683636
2584213.40868293,1220342.51613918,212,Seepark,7.230545882730043,47.133873786834684
2585597.90543899,1220459.86008397,210,Congresshaus,7.248791114258848,47.134961027557246
2586127.00435491,1220505.75806624,209,Madrestch-Piano,7.25576387028088,47.135385241082226
2584827.50162955,1220544.0030259,229,Viaductstrasse,7.238633407181197,47.135700564647706
2585459.51087453,1220646.07017044,203,Zentralplatz,7.2469608738162705,47.136632907460786
2584343.00380114,1219491.20705779,231,Nidau-Lac,7.232283739199284,47.12621951507841
2584367.50054306,1219403.5010082,239,Nidau-wald,7.232609634845101,47.12543119683497
2584647.01086331,1219988.27016833,202,Hafen,7.236273281519853,47.130697668001005
