time,logger,daily_max,daily_min,daily_mean,x,y,Name
2023-05-15,201,18.80611111111111,10.16111111111111,13.28046296296296,7.241111393028388,47.13079517749481,Robert-Walser-Platz
2023-05-15,202,18.045,9.768,13.379717391304354,7.236273281519853,47.130697668001005,Hafen
2023-05-15,203,19.472,10.553,13.580550724637687,7.2469608738162705,47.13663290746079,Zentralplatz
2023-05-15,204,19.377222222222223,9.66888888888889,13.131070853462152,7.253368987131442,47.14103925664875,Stadtpark
2023-05-15,205,23.196111111111108,11.431111111111113,18.30089774557165,7.265148929721899,47.14474113093907,Ile de la Suze
2023-05-15,206,18.14,9.077222222222222,12.503071658615136,7.295157258049944,47.13854844317897,rural reference
2023-05-15,207,18.426111111111112,10.062777777777775,12.583752012882456,7.415043620428569,47.17900519328959,Swiss Meteo Reference
2023-05-15,208,19.187222222222225,9.866111111111111,12.996920289855064,7.262326212167894,47.13000983323275,Möösli
2023-05-15,209,21.760000000000005,12.11,18.41597423510468,7.25576387028088,47.13538524108223,Madrestch-Piano
2023-05-15,210,19.47222222222222,10.25888888888889,13.348896940418689,7.248791114258848,47.134961027557246,Congresshaus
2023-05-15,211,22.81222222222222,11.72222222222222,18.77530998389693,7.249229243522805,47.12814316650811,Mühlefeld
2023-05-15,212,17.284,9.571,12.874043478260882,7.230545882730043,47.13387378683469,Seepark
2023-05-15,213,18.426111111111112,10.455000000000002,12.983590982286628,7.253961623819155,47.11991929762015,Port NBK
2023-05-15,214,,,,7.266219234607871,47.12849563209389,Längholz
2023-05-15,215,19.09222222222222,10.16111111111111,13.382234299516911,7.245634985865393,47.14201400637538,Old City
2023-05-15,216,19.852777777777774,9.964999999999998,13.251380837359097,7.238831053622557,47.125199475937286,Nidau-mittestrasse
2023-05-15,217,17.855,9.66888888888889,12.811936392914651,7.283673321069929,47.14427564935802,Geyisreid
2023-05-15,218,19.187,10.259,13.655471014492765,7.243143648481159,47.13334736683636,Bahnhof
2023-05-15,219,24.448,12.497,18.76480434782605,7.246485268059931,47.13873185875089,New City
2023-05-15,220,18.521111111111107,10.357222222222225,13.367576489533011,7.251286004060669,47.13730019991995,Altersheim-Neumarkt
2023-05-15,221,19.757777777777772,9.66888888888889,13.390124798711762,7.263613252816366,47.14665459886711,Champagne-Piano
2023-05-15,222,18.616111111111117,9.176111111111112,12.55125201288244,7.244246935126219,47.14703437576004,Spital
2023-05-15,223,19.377222222222223,10.455000000000002,13.22977858293076,7.257345243986482,47.1258438271483,Altersheim-erlacher
2023-05-15,224,18.80611111111111,9.47222222222222,12.937950885668284,7.271159682945557,47.15111046676412,Bözingen
2023-05-15,225,18.521111111111107,9.176111111111112,13.179102254428347,7.2784280163168065,47.159005975110944,Swisstennis
2023-05-15,226,18.99611111111111,10.552777777777775,13.3158574879227,7.25094956021827,47.12243292332993,Port Thielle
2023-05-15,227,19.28222222222222,9.176111111111112,13.076557971014502,7.260944155574042,47.15039277997535,Altersheim-redenweg
2023-05-15,228,18.80611111111111,9.571111111111112,12.949412238325277,7.271442786808509,47.14221612603856,Südstrasse
2023-05-15,229,18.711,9.768,13.311724637681165,7.238633407181197,47.135700564647706,Viaductstrasse
2023-05-15,230,18.331,9.275,12.958963768115952,7.220957635875876,47.13074150165554,Vingelz
2023-05-15,231,23.48388888888889,20.23388888888889,21.49998389694041,7.232283739199284,47.12621951507841,Nidau-Lac
2023-05-15,232,20.328888888888887,9.767777777777775,13.426694847020936,7.255567533607622,47.14423869874925,Champagne-Blumen
2023-05-15,233,21.664,12.013,18.45534057971012,7.249217573272106,47.13327968634356,Madretsch-Zukunft
2023-05-15,234,18.616111111111117,8.778888888888888,12.8947383252818,7.292273509911332,47.15891885527405,Bözingenfeld
2023-05-15,235,19.47222222222222,8.58111111111111,12.680970209339772,7.256578930803547,47.15067194726373,Altersheim-Reid
2023-05-15,236,18.616111111111117,8.977777777777776,12.954492753623189,7.267614387206042,47.15370810175957,Taubenloch
2023-05-15,237,19.377222222222223,8.977777777777776,12.985764895330115,7.292424384479668,47.16303529232208,Rolex
2023-05-15,238,22.142,11.819,18.51826811594201,7.241696082617558,47.13892945858104,Museum
2023-05-15,239,,,,7.232609634845101,47.12543119683497,Nidau-wald
2023-05-15,240,,,,7.26624170539283,47.128434760378624,Längholz-replacement
2023-05-16,201,13.365000000000002,10.16111111111111,11.60429398148148,7.241111393028388,47.13079517749481,Robert-Walser-Platz
2023-05-16,202,13.461,10.161,11.640618055555567,7.236273281519853,47.130697668001005,Hafen
2023-05-16,203,13.269,10.357,11.800604166666677,7.2469608738162705,47.13663290746079,Zentralplatz
2023-05-16,204,13.461111111111109,9.964999999999998,11.27103780864196,7.253368987131442,47.14103925664875,Stadtpark
2023-05-16,205,13.653888888888888,9.66888888888889,11.21529706790123,7.265148929721899,47.14474113093907,Ile de la Suze
2023-05-16,206,13.461111111111109,9.571111111111112,10.93183641975308,7.295157258049944,47.13854844317897,rural reference
2023-05-16,207,14.42111111111111,9.866111111111111,11.287469135802464,7.415043620428569,47.17900519328959,Swiss Meteo Reference
2023-05-16,208,13.55777777777778,9.866111111111111,11.204733796296294,7.262326212167894,47.13000983323275,Möösli
2023-05-16,209,13.268888888888888,10.25888888888889,11.559926697530852,7.25576387028088,47.13538524108223,Madrestch-Piano
2023-05-16,210,13.461111111111109,10.16111111111111,11.621867283950612,7.248791114258848,47.134961027557246,Congresshaus
2023-05-16,211,13.55777777777778,10.062777777777775,11.461141975308626,7.249229243522805,47.12814316650811,Mühlefeld
