,X,Y,logger,Long_name,fitnah_ss_50,fitnah_ss_250,fitnah_sv_50,fitnah_sv_250,fitnah_temp_50,fitnah_temp_250,dem_50,dem_250,20_50,20_250,14_50,14_250,9_50,9_250,22_50,22_250,24_50,24_250,25_50,25_250,lon,lat
0,2589116.21093916,1220851.17015334,206,rural reference,0.0,0.07400153,,0.0075104926,0.4907611,0.41797873,0.013322573486474292,0.01007928429396825,0.008264462809917356,0.04644194756554307,0.0,0.0019223375624759708,0.9752066115702479,0.9497250589159466,0.008264462809917356,0.047555257870060284,0.0,0.005235602094240838,0.008264462809917356,0.01653210303729335,7.295157258049944,47.13854844317897
1,2587318.10545237,1221262.51008333,228,Südstrasse,0.06331511,0.23079602,0.2179758,0.498276,0.5376182,0.64360434,0.016891868102770793,0.023402720084090927,0.2231404958677686,0.30112359550561796,0.0,0.00038446751249519417,0.5867768595041323,0.27651217596229377,0.15702479338842976,0.3141326188881447,0.0,0.18586387434554974,0.03305785123966942,0.2779700115340254,7.271442786808509,47.14221612603856
2,2588246.30546011,1221489.56008199,217,Geyisreid,0.19721177,0.22193949,0.10911198,0.32667398,0.6102311,0.54564106,0.02601300404706897,0.03148712133787977,0.371900826446281,0.3955056179775281,0.0,0.0,0.371900826446281,0.5,0.18181818181818182,0.4032150033489618,0.011363636363636364,0.14659685863874344,0.06611570247933884,0.05459438677431757,7.283673321069929,47.14427564935802
3,2586841.31089471,1221544.27017185,205,Ile de la Suze,0.13218921,0.29521534,0.4910372,0.5459563,0.58190554,0.63947195,0.015518059510161629,0.01303745160680697,0.049586776859504134,0.4966292134831461,0.1487603305785124,0.027297193387158785,0.512396694214876,0.2827965435978005,0.1322314049586777,0.41527126590756863,0.03409090909090909,0.17801047120418848,0.1322314049586777,0.10188389081122645,7.265148929721899,47.14474113093907
4,2586725.30544576,1221757.26008724,221,Champagne-Piano,0.092022926,0.17122509,0.21879882,0.36676958,0.5557725,0.5574876,0.015721306142823667,0.013757679979250138,0.2892561983471074,0.4352059925093633,0.0,0.016916570549788543,0.4462809917355372,0.4253731343283582,0.12396694214876033,0.3503014065639652,0.011363636363636364,0.24083769633507854,0.1322314049586777,0.10688196847366398,7.263613252816366,47.14665459886711
5,2586523.80544287,1222173.31008976,227,Altersheim-redenweg,0.15757112,0.19442654,0.42420375,0.40277255,0.61642647,0.55507827,0.026395042451150885,0.03898020881370322,0.2231404958677686,0.48764044943820223,0.0,0.0,0.35537190082644626,0.40219952867242736,0.06611570247933884,0.35164099129269927,0.125,0.19895287958115182,0.2644628099173554,0.12033833141099577,7.260944155574042,47.15039277997535
6,2584839.50652196,1219376.51209687,216,Nidau-mittestrasse,0.16238914,0.18987273,0.4107774,0.50742555,0.6349985,0.61348337,0.006395397165421143,0.003230480725381094,0.2727272727272727,0.5363295880149813,0.0,0.03344867358708189,0.38016528925619836,0.3267871170463472,0.2066115702479339,0.4521098459477562,0.045454545454545456,0.14921465968586387,0.10743801652892562,0.08804306036139946,7.238831053622557,47.125199475937286
7,2585629.30380887,1219701.80705616,211,Mühlefeld,0.028565945,0.1051935,0.096044414,0.2811574,0.52565485,0.5229101,0.012826690258325087,0.008766626566634038,0.21487603305785125,0.3535580524344569,0.0,0.0007689350249903883,0.5950413223140496,0.4956794972505892,0.15702479338842976,0.3060951105157401,0.011363636363636364,0.18848167539267016,0.024793388429752067,0.08996539792387544,7.249229243522805,47.12814316650811
8,2585758.30489964,1219066.65906917,226,Port Thielle,0.31688845,0.10411206,0.33633876,0.15750903,0.66614455,0.5390142,0.005900178841945595,0.003236268076649031,0.33884297520661155,0.3355805243445693,0.0,0.14763552479815456,0.256198347107438,0.39552238805970147,0.2727272727272727,0.2103148024112525,0.056818181818181816,0.112565445026178,0.09090909090909091,0.15570934256055363,7.25094956021827,47.12243292332993
9,2585986.20708087,1218786.66309739,213,Port NBK,0.06354919,0.21608834,0.19282973,0.20439395,0.658221,0.5904717,0.005017539753650895,0.0035074647233660824,0.0743801652892562,0.20524344569288389,0.48760330578512395,0.23529411764705882,0.2066115702479339,0.3389630793401414,0.049586776859504134,0.3101138647019424,0.045454545454545456,0.0968586387434555,0.1487603305785124,0.13533256439830835,7.253961623819155,47.11991929762015
